id;year;country;event;artist;title;points_total;rank
98;1964;AUT;3;Udo Jürgens;Warum nur, warum?;11;6
99;1964;F;3;Rachel;Le chant de Mallory;14;4
100;1964;UK;3;Matt Monro;I Love The Little Things;17;2
101;1964;D;3;Nora Nova;Man gewöhnt sich so schnell an das  Schöne;0;13
102;1964;MC;3;Romuald;Où sont-elles passées ?;15;3
103;1964;POR;3;Antonio Calvario;Oração;0;13
104;1964;I;3;Gigliola Cinquetti;Non ho l'eta (per amarti);49;1
105;1964;YUG;3;Sabahudin Kurt;Zivot je sklopio krug;0;13
106;1964;CH;3;Anita Traversi;I miei pensieri;0;13
107;1964;B;3;Roberto Cogio;Près de ma riviere;2;10
108;1964;E;3;Nelly, Tim & Toni (Los TNT);Caracola;1;12
109;1965;NL;3;Conny von den Bos;T is genoeg;5;11
110;1965;UK;3;Kathy Kirby;I belong;26;2
111;1965;E;3;Conchita Bautista;Que bueno, que bueno;0;15
112;1965;IRL;3;Butch Moore;I'm Walking The Streets In The Rain;11;6
113;1965;D;3;Ulla Wiesner;Paradies, wo bist du?;0;15
114;1965;AUT;3;Udo Jürgens;Sag ihr, ich lass' Sie grüßen;16;4
115;1965;N;3;Kirsti Sparboe;Karusell;1;13
116;1965;B;3;Lize Marke;Als het weer lente is;0;15
117;1965;MC;3;Marjorie Noël;Va dire à l'amour;7;9
118;1965;S;3;Ingvar Wixell;Annorstädes vals (Absent friend);6;10
119;1965;F;3;Guy Mardel;N'avoue jamais;22;3
120;1965;POR;3;Simone de Oliveira;Sol de inverno;1;13
121;1965;I;3;Bobby Solo;Se piagni, se ridi;15;5
122;1965;DK;3;Birgit Brüel;For din skyld;10;7
123;1965;LUX;3;France Gall;Poupée de cire, poupée de son;32;1
124;1965;SF;3;Viktor Klimenko;Aurinko laskee länteen;0;15
125;1965;YUG;3;Vice Vukov;Ceznja;2;12
126;1965;CH;3;Yovanna;Non, à jamais sans toi;8;8
127;1966;D;3;Margot Eskens;Die Zeiger der Uhr;7;10
128;1966;DK;3;Ulla Pia;Stop, mens legen er go;4;14
129;1966;B;3;Tonia;Un peu de poivre, un peu de sel;14;4
130;1966;LUX;3;Michèle Torr;Ce soir je t'attendais;7;10
131;1966;YUG;3;Berta Ambroz;Brez besed;9;7
132;1966;N;3;Åse Kleveland;Intet er nytt under solen;15;3
133;1966;SF;3;Ann Christine;Playboy;7;10
